,last_update_date,tags,permalink,status,list_date,open_houses,branding,photos,coming_soon_date,list_price,matterport,property_id,community,virtual_tours,listing_id,price_reduced_amount,primary_photo.href,source.agents,source.id,source.plan_id,source.spec_id,source.type,tax_record.public_record_id,flags.is_new_construction,flags.is_subdivision,flags.is_plan,flags.is_price_reduced,flags.is_pending,flags.is_foreclosure,flags.is_new_listing,flags.is_coming_soon,flags.is_contingent,lead_attributes.show_contact_an_agent,lead_attributes.opcity_lead_attributes.flip_the_market_enabled,lead_attributes.opcity_lead_attributes.cashback_enabled,lead_attributes.lead_type,products.products,products.brand_name,description.year_built,description.baths_3qtr,description.sold_date,description.sold_price,description.baths_full,description.name,description.baths_half,description.lot_sqft,description.sqft,description.baths,description.sub_type,description.baths_1qtr,description.garage,description.stories,description.beds,description.type,location.address.postal_code,location.address.state,location.address.coordinate.lon,location.address.coordinate.lat,location.address.city,location.address.state_code,location.address.line,location.street_view_url,location.county.fips_code,location.county.name,other_listings.rdc,primary_photo,tax_record,products
0,2022-04-15T15:58:42Z,"['central_air', 'community_clubhouse', 'community_outdoor_space', 'community_security_features', 'den_or_office', 'family_room', 'fireplace', 'forced_air', 'hardwood_floors', 'laundry_room', 'recreation_facilities', 'community_swimming_pool', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more', 'garage_3_or_more', 'private_backyard', 'clubhouse', 'shopping']",5017-Clyden-Cv_Raleigh_NC_27612_M62303-21493,for_sale,2022-04-15T06:25:49Z,,"[{'name': 'Keller Williams Preferred Realty - Brier Creek', 'photo': None, 'type': 'Office'}]","[{'href': 'https://ap.rdcpix.com/ad5b7fab28898723f149d22bbdca910bl-m917122196s-w1024_h768.jpg'}, {'href': 'https://ap.rdcpix.com/ad5b7fab28898723f149d22bbdca910bl-m3086362402s-w1024_h768.jpg'}]",,1395000,False,6230321493,,,2942127178,,https://ap.rdcpix.com/ad5b7fab28898723f149d22bbdca910bl-m917122196s-w1024_h768.jpg,[{'office_name': 'Keller Williams Preferred Realty'}],TANC,,,mls,2A92FB59DBC608EA758F40AE6529C93E,,,,,,,True,,,True,False,False,co_broke,"['core.agent', 'core.broker', 'co_broke']",essentials,2011.0,,2019-09-26,843000.0,4.0,,1.0,16553.0,5259.0,5.0,,,3.0,3.0,5.0,single_family,27612,North Carolina,-78.721574,35.842281,Raleigh,NC,5017 Clyden Cv,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=5017%20Clyden%20Cv%2C%20Raleigh%2C%20NC%2027612&size=640x480&source=outdoor&signature=PDHJfd-nXTZyDuqGy3Hr1dQw3QU=,37183,Wake,"[{'listing_id': '2942127178', 'listing_key': None, 'status': 'for_sale', 'primary': True}, {'listing_id': '2469041403', 'listing_key': None, 'status': 'off_market', 'primary': None}, {'listing_id': '2274700674', 'listing_key': None, 'status': 'off_market', 'primary': None}, {'listing_id': '612501910', 'listing_key': None, 'status': 'off_market', 'primary': None}, {'listing_id': '599926522', 'listing_key': None, 'status': 'off_market', 'primary': None}, {'listing_id': '560353694', 'listing_key': None, 'status': 'off_market', 'primary': None}, {'listing_id': '541626170', 'listing_key': None, 'status': 'off_market', 'primary': None}]",,,
1,2022-04-15T06:19:57Z,"['central_air', 'community_outdoor_space', 'community_security_features', 'den_or_office', 'disability_features', 'energy_efficient', 'family_room', 'fireplace', 'forced_air', 'game_room', 'hardwood_floors', 'laundry_room', 'new_construction', 'recreation_facilities', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more', 'garage_3_or_more', 'high_ceiling', 'master_suite']",2116-Ridge-Rd_Raleigh_NC_27607_M60389-93987,for_sale,2022-04-15T06:25:49Z,,"[{'name': 'Howard Perry and Walston', 'photo': None, 'type': 'Office'}]",,,3500000,False,6038993987,,,2942127181,,,[{'office_name': None}],TANC,,,mls,9E60AA27CE52C4921A7340DBA09573DC,True,,,,,,True,,,True,False,False,co_broke,"['core.agent', 'core.broker', 'co_broke']",essentials,2022.0,,2021-06-14,655500.0,5.0,,1.0,17424.0,6220.0,6.0,,,3.0,2.0,5.0,single_family,27607,North Carolina,-78.677319,35.820002,Raleigh,NC,2116 Ridge Rd,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=2116%20Ridge%20Rd%2C%20Raleigh%2C%20NC%2027607&size=640x480&source=outdoor&signature=cPVVrLWi6u2z2eXN6wPtwV1TEhQ=,37183,Wake,"[{'listing_id': '2942127181', 'listing_key': None, 'status': 'for_sale', 'primary': True}, {'listing_id': '2927499291', 'listing_key': None, 'status': 'off_market', 'primary': None}]",,,
2,2022-04-15T00:05:47Z,"['central_heat', 'community_outdoor_space', 'community_security_features', 'den_or_office', 'dining_room', 'dishwasher', 'family_room', 'fireplace', 'forced_air', 'hardwood_floors', 'laundry_room', 'recreation_facilities', 'tennis_court', 'community_swimming_pool', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more', 'garage_3_or_more', 'fenced_yard', 'open_floor_plan', 'floor_plan', 'corner_lot', 'front_porch', 'new_roof']",3317-Canoe-Brook-Pkwy_Raleigh_NC_27614_M51005-64582,for_sale,2022-04-15T04:06:30Z,,"[{'name': 'RE/MAX SIGNATURE REALTY', 'photo': None, 'type': 'Office'}]",,,1050000,False,5100564582,,,2942124015,,,[{'office_name': 'RE/MAX SIGNATURE REALTY'}],FANC,,,mls,7353C97B3A25CF4F5164B64CEB72FAEF,,,,,,,True,,,True,False,False,co_broke,"['core.agent', 'core.broker', 'co_broke']",essentials,2005.0,,2015-06-01,648000.0,4.0,,1.0,16117.0,4250.0,5.0,,,3.0,2.0,5.0,single_family,27614,North Carolina,-78.555887,35.92802,Raleigh,NC,3317 Canoe Brook Pkwy,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=3317%20Canoe%20Brook%20Pkwy%2C%20Raleigh%2C%20NC%2027614&size=640x480&source=outdoor&signature=Y_CpuLojKBpTSHz3PBy-kg35yXM=,37183,Wake,"[{'listing_id': '2942124015', 'listing_key': None, 'status': 'for_sale', 'primary': True}, {'listing_id': '600860902', 'listing_key': None, 'status': 'off_market', 'primary': None}, {'listing_id': '556182918', 'listing_key': None, 'status': 'off_market', 'primary': None}, {'listing_id': '558495122', 'listing_key': None, 'status': 'off_market', 'primary': None}, {'listing_id': '539052526', 'listing_key': None, 'status': 'off_market', 'primary': None}]",,,
3,2022-04-15T02:11:21Z,"['central_air', 'community_outdoor_space', 'den_or_office', 'hardwood_floors', 'recreation_facilities', 'two_or_more_stories', 'rental_property', 'investment_opportunity']",911-E-Martin-St_Raleigh_NC_27601_M98923-08934,for_sale,2022-04-15T02:15:46Z,,"[{'name': 'EXP Realty LLC', 'photo': None, 'type': 'Office'}]","[{'href': 'https://ap.rdcpix.com/c5fa40139b65dcae5060f0d6d802057cl-m2797185116s-w1024_h768.jpg'}, {'href': 'https://ap.rdcpix.com/c5fa40139b65dcae5060f0d6d802057cl-m3043882979s-w1024_h768.jpg'}]",,1399900,False,9892308934,,,2942119317,,https://ap.rdcpix.com/c5fa40139b65dcae5060f0d6d802057cl-m2797185116s-w1024_h768.jpg,[{'office_name': None}],TANC,,,mls,,,,,,,,True,,,True,False,False,co_broke,"['core.agent', 'core.broker', 'co_broke']",essentials,1950.0,,,,,,,,,,,,,2.0,2.0,multi_family,27601,North Carolina,-78.624096,35.776598,Raleigh,NC,911 E Martin St,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=911%20E%20Martin%20St%2C%20Raleigh%2C%20NC%2027601&size=640x480&source=outdoor&signature=jikdXl0EcEYLpyxWBpDVh8pTvcA=,37183,Wake,"[{'listing_id': '2942119317', 'listing_key': None, 'status': 'for_sale', 'primary': True}, {'listing_id': '2915438442', 'listing_key': None, 'status': 'off_market', 'primary': None}]",,,
4,2022-04-14T14:18:09Z,"['central_air', 'community_outdoor_space', 'fireplace', 'forced_air', 'hardwood_floors', 'laundry_room', 'new_construction', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more']",1416-Westmoreland-Dr_Raleigh_NC_27612_M69253-03316,for_sale,2022-04-14T14:22:12Z,,"[{'name': 'Sell Your Home Services', 'photo': None, 'type': 'Office'}]","[{'href': 'https://ap.rdcpix.com/de1dd3f689e3a4d63a003ea2adea5e99l-m545631619s-w1024_h768.jpg'}, {'href': 'https://ap.rdcpix.com/de1dd3f689e3a4d63a003ea2adea5e99l-m2776715421s-w1024_h768.jpg'}]",,974900,False,6925303316,,,2942090191,,https://ap.rdcpix.com/de1dd3f689e3a4d63a003ea2adea5e99l-m545631619s-w1024_h768.jpg,[{'office_name': None}],TANC,,,mls,803256A6ECBC00D66755BD7272853AF0,True,,,,,,True,,,True,False,False,co_broke,"['core.agent', 'core.broker', 'co_broke']",essentials,2023.0,,2017-10-05,40000.0,3.0,,1.0,18774.0,2391.0,4.0,,,2.0,2.0,5.0,single_family,27612,North Carolina,-78.678733,35.829475,Raleigh,NC,1416 Westmoreland Dr,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=1416%20Westmoreland%20Dr%2C%20Raleigh%2C%20NC%2027612&size=640x480&source=outdoor&signature=cx7CmcQi0YdA6ghqYHqoMzrApQA=,37183,Wake,"[{'listing_id': '2942090191', 'listing_key': None, 'status': 'for_sale', 'primary': True}, {'listing_id': '2935866018', 'listing_key': None, 'status': 'for_sale', 'primary': None}, {'listing_id': '613956434', 'listing_key': None, 'status': 'off_market', 'primary': None}, {'listing_id': '601919014', 'listing_key': None, 'status': 'off_market', 'primary': None}]",,,
5,2022-04-14T18:10:19Z,"['central_air', 'community_outdoor_space', 'community_security_features', 'family_room', 'fireplace', 'hardwood_floors', 'laundry_room', 'swimming_pool', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more', 'gourmet_kitchen', 'large_porch', 'groundscare', 'shopping']",6216-Heatherstone-Dr_Raleigh_NC_27606_M50505-89913,for_sale,2022-04-14T10:34:46Z,"[{'start_date': '2022-04-15T16:00:00', 'methods': ['in_person'], 'description': None, 'end_date': '2022-04-15T18:00:00', 'dst': True, 'time_zone': 'EST'}, {'start_date': '2022-04-16T13:00:00', 'methods': ['in_person'], 'description': None, 'end_date': '2022-04-16T15:00:00', 'dst': True, 'time_zone': 'EST'}, {'start_date': '2022-04-17T13:00:00', 'methods': ['in_person'], 'description': None, 'end_date': '2022-04-17T16:00:00', 'dst': True, 'time_zone': 'EST'}]","[{'name': 'Howard Perry and Walston', 'photo': None, 'type': 'Office'}]","[{'href': 'https://ap.rdcpix.com/595b1796873ce7d40a5cf311218691fel-m3479664171s-w1024_h768.jpg'}, {'href': 'https://ap.rdcpix.com/595b1796873ce7d40a5cf311218691fel-m72018352s-w1024_h768.jpg'}]",,1200000,False,5050589913,,,2942085641,,https://ap.rdcpix.com/595b1796873ce7d40a5cf311218691fel-m3479664171s-w1024_h768.jpg,[{'office_name': None}],TANC,,,mls,B5533B60A4FE79A99FD3EEB8497A5860,,,,,,,True,,,True,False,False,co_broke,"['core.agent', 'core.broker', 'co_broke']",essentials,2004.0,,2001-11-01,90000.0,3.0,,1.0,40511.0,4208.0,4.0,,,2.0,2.0,4.0,single_family,27606,North Carolina,-78.757946,35.706437,Raleigh,NC,6216 Heatherstone Dr,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=6216%20Heatherstone%20Dr%2C%20Raleigh%2C%20NC%2027606&size=640x480&source=outdoor&signature=n5Jc9mLIgFOQzGamdiYCaje7vcA=,37183,Wake,"[{'listing_id': '2942085641', 'listing_key': None, 'status': 'for_sale', 'primary': True}]",,,
6,2022-04-13T12:55:17Z,"['central_air', 'community_outdoor_space', 'community_security_features', 'den_or_office', 'energy_efficient', 'family_room', 'fireplace', 'forced_air', 'game_room', 'hardwood_floors', 'laundry_room', 'new_construction', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more', 'garage_3_or_more', 'floor_plan']",1617-Sweetwater-Ln_Raleigh_NC_27610_M93902-75252,for_sale,2022-04-13T18:02:22Z,,"[{'name': 'Carolina Foundations Realty', 'photo': None, 'type': 'Office'}]","[{'href': 'https://ap.rdcpix.com/40c75868f7f9d4bdc2265071e4e46daal-m2354294410s-w1024_h768.jpg'}, {'href': 'https://ap.rdcpix.com/40c75868f7f9d4bdc2265071e4e46daal-m404873125s-w1024_h768.jpg'}]",,999000,True,9390275252,,,2942061018,,https://ap.rdcpix.com/40c75868f7f9d4bdc2265071e4e46daal-m2354294410s-w1024_h768.jpg,[{'office_name': None}],TANC,,,mls,C28F7BA9111999A4DD7FE34FF368BC7B,True,,,,,,True,,,True,False,False,co_broke,"['core.agent', 'core.broker', 'co_broke']",essentials,2022.0,,2021-11-17,450000.0,5.0,,1.0,54014.0,4078.0,6.0,,,3.0,2.0,4.0,single_family,27610,North Carolina,-78.495797,35.730557,Raleigh,NC,1617 Sweetwater Ln,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=1617%20Sweetwater%20Ln%2C%20Raleigh%2C%20NC%2027610&size=640x480&source=outdoor&signature=rzCkmgnoDXOSbLuH1NbpEwuq84k=,37183,Wake,"[{'listing_id': '2942061018', 'listing_key': None, 'status': 'for_sale', 'primary': True}]",,,
7,2022-04-12T17:56:34Z,,3607-Alamance-Dr_Raleigh_NC_27609_M54691-34567,for_sale,2022-04-12T18:02:27Z,,"[{'name': 'Howard Perry and Walston', 'photo': None, 'type': 'Office'}]","[{'href': 'https://ap.rdcpix.com/70da74d3cf754ac8f3c2ef56aa7689f0l-m1615362243s-w1024_h768.jpg'}, {'href': 'https://ap.rdcpix.com/70da74d3cf754ac8f3c2ef56aa7689f0l-m2972551028s-w1024_h768.jpg'}]",,1650000,False,5469134567,,,2942028674,,https://ap.rdcpix.com/70da74d3cf754ac8f3c2ef56aa7689f0l-m1615362243s-w1024_h768.jpg,[{'office_name': None}],TANC,,,mls,BF6F43F047CC72891E36DEE7D8C32973,,,,,,,True,,,True,False,False,co_broke,"['core.agent', 'core.broker']",essentials,,,,,,,,40946.0,,0.0,,,,,,land,27609,North Carolina,-78.663108,35.833545,Raleigh,NC,3607 Alamance Dr,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=3607%20Alamance%20Dr%2C%20Raleigh%2C%20NC%2027609&size=640x480&source=outdoor&signature=lRxo8twBuARKLpii8wv0g8mlFjI=,37183,Wake,"[{'listing_id': '2942028674', 'listing_key': None, 'status': 'for_sale', 'primary': True}, {'listing_id': '2940513306', 'listing_key': None, 'status': 'off_market', 'primary': None}]",,,
8,2022-04-12T16:35:44Z,"['central_air', 'community_outdoor_space', 'family_room', 'fireplace', 'forced_air', 'hardwood_floors', 'laundry_room', 'new_construction', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more', 'gourmet_kitchen']",1417-Westmoreland-Dr_Raleigh_NC_27612_M66212-43612,for_sale,2022-04-12T16:38:17Z,,"[{'name': 'Sell Your Home Services', 'photo': None, 'type': 'Office'}]","[{'href': 'https://ap.rdcpix.com/ce7f826cdba1b66ee49c1f6e503c6395l-m1746021826s-w1024_h768.jpg'}, {'href': 'https://ap.rdcpix.com/ce7f826cdba1b66ee49c1f6e503c6395l-m4008635996s-w1024_h768.jpg'}]",,1028900,False,6621243612,,,2942025819,,https://ap.rdcpix.com/ce7f826cdba1b66ee49c1f6e503c6395l-m1746021826s-w1024_h768.jpg,[{'office_name': None}],TANC,,,mls,A2FA8B4C152D546484F67DD6113350DA,True,,,,,,True,,,True,False,False,co_broke,"['core.agent', 'core.broker', 'co_broke']",essentials,2023.0,,2018-02-21,75000.0,3.0,,1.0,12632.0,3494.0,4.0,,,2.0,2.0,5.0,single_family,27612,North Carolina,-78.679327,35.829618,Raleigh,NC,1417 Westmoreland Dr,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=1417%20Westmoreland%20Dr%2C%20Raleigh%2C%20NC%2027612&size=640x480&source=outdoor&signature=3CE7As6H7Tu4jDXRV3tgX8daqgA=,37183,Wake,"[{'listing_id': '2942025819', 'listing_key': None, 'status': 'for_sale', 'primary': True}, {'listing_id': '2935936099', 'listing_key': None, 'status': 'for_sale', 'primary': None}, {'listing_id': '637228686', 'listing_key': None, 'status': 'off_market', 'primary': None}]",,,
9,2022-04-09T16:23:57Z,"['central_air', 'community_clubhouse', 'community_outdoor_space', 'community_security_features', 'den_or_office', 'disability_features', 'energy_efficient', 'family_room', 'fireplace', 'forced_air', 'game_room', 'hardwood_floors', 'laundry_room', 'new_construction', 'recreation_facilities', 'basement', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more', 'garage_3_or_more', 'big_lot']",3401-Turnbridge-Dr_Raleigh_NC_27609_M93544-32150,for_sale,2022-04-09T15:41:17Z,,"[{'name': 'Howard Perry and Walston', 'photo': None, 'type': 'Office'}]","[{'href': 'https://ap.rdcpix.com/8eec78b0e92b89c77e17719ae344b4c0l-m2522271567s-w1024_h768.jpg'}, {'href': 'https://ap.rdcpix.com/8eec78b0e92b89c77e17719ae344b4c0l-m3586790339s-w1024_h768.jpg'}]",,2250000,False,9354432150,,,2941961594,,https://ap.rdcpix.com/8eec78b0e92b89c77e17719ae344b4c0l-m2522271567s-w1024_h768.jpg,[{'office_name': None}],TANC,,,mls,9AF2D8D1F2105294DA533DB25E30C8FF,True,,,,,,True,,,True,False,False,co_broke,"['core.agent', 'core.broker', 'co_broke']",essentials,2022.0,,2021-04-20,800000.0,5.0,,1.0,18077.0,5518.0,6.0,,,3.0,2.0,5.0,single_family,27609,North Carolina,-78.640601,35.827294,Raleigh,NC,3401 Turnbridge Dr,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=3401%20Turnbridge%20Dr%2C%20Raleigh%2C%20NC%2027609&size=640x480&source=outdoor&signature=4oOOAvhubaH5kHUcutXURcn6BBc=,37183,Wake,"[{'listing_id': '2941961594', 'listing_key': None, 'status': 'for_sale', 'primary': True}, {'listing_id': '2938961650', 'listing_key': None, 'status': 'off_market', 'primary': None}, {'listing_id': '2933043059', 'listing_key': None, 'status': 'off_market', 'primary': None}]",,,
10,2022-04-14T18:40:34Z,"['central_air', 'community_clubhouse', 'community_outdoor_space', 'community_security_features', 'den_or_office', 'disability_features', 'family_room', 'fireplace', 'forced_air', 'game_room', 'hardwood_floors', 'laundry_room', 'new_construction', 'recreation_facilities', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more', 'garage_3_or_more']",2412-Toll-Mill-Ct_Raleigh_NC_27606_M98310-97653,for_sale,2022-04-08T21:24:57Z,,"[{'name': 'Howard Perry and Walston', 'photo': None, 'type': 'Office'}]","[{'href': 'https://ap.rdcpix.com/17640757d885b77ad63cca0224dd4a58l-m1126619276s-w1024_h768.jpg'}, {'href': 'https://ap.rdcpix.com/17640757d885b77ad63cca0224dd4a58l-m2589348501s-w1024_h768.jpg'}]",,1279000,False,9831097653,,,2941942430,,https://ap.rdcpix.com/17640757d885b77ad63cca0224dd4a58l-m1126619276s-w1024_h768.jpg,[{'office_name': None}],TANC,,,mls,01E95F5CA3CEA441FBC47BC7616DDB72,True,,,,,,True,,,True,False,False,co_broke,"['core.agent', 'core.broker', 'co_broke']",essentials,2022.0,,2020-11-30,190000.0,5.0,,,30928.0,4012.0,5.0,,,3.0,2.0,5.0,single_family,27606,North Carolina,-78.730692,35.714378,Raleigh,NC,2412 Toll Mill Ct,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=2412%20Toll%20Mill%20Ct%2C%20Raleigh%2C%20NC%2027606&size=640x480&source=outdoor&signature=BAAneUmeOCW_Q1Nj1UeESTyuu-o=,37183,Wake,"[{'listing_id': '2941942430', 'listing_key': None, 'status': 'for_sale', 'primary': True}]",,,
11,2022-04-11T18:03:10Z,"['community_outdoor_space', 'community_security_features', 'den_or_office', 'family_room', 'fireplace', 'forced_air', 'hardwood_floors', 'laundry_room', 'view', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more', 'garage_3_or_more', 'private_backyard', 'open_floor_plan', 'floor_plan', 'two_master_suites', 'master_suite', 'clubhouse', 'park', 'views']",2610-Saint-Marys-St_Raleigh_NC_27609_M57221-64691,for_sale,2022-04-08T17:19:43Z,,"[{'name': 'ERA Live Moore', 'photo': None, 'type': 'Office'}]","[{'href': 'https://ap.rdcpix.com/9949a74a87d9972f2f2e60fbab391c4dl-m4132504191s-w1024_h768.jpg'}, {'href': 'https://ap.rdcpix.com/9949a74a87d9972f2f2e60fbab391c4dl-m3447152610s-w1024_h768.jpg'}]",,1490000,True,5722164691,,,2941930507,,https://ap.rdcpix.com/9949a74a87d9972f2f2e60fbab391c4dl-m4132504191s-w1024_h768.jpg,[{'office_name': None}],TANC,,,mls,01644D51EFF5C302827E5DE74625D055,,,,,,,True,,True,True,False,False,co_broke,"['core.agent', 'core.broker', 'co_broke']",essentials,2014.0,,2021-06-14,1300000.0,3.0,,1.0,17424.0,3462.0,4.0,,,3.0,2.0,4.0,single_family,27609,North Carolina,-78.650566,35.815775,Raleigh,NC,2610 Saint Marys St,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=2610%20Saint%20Marys%20St%2C%20Raleigh%2C%20NC%2027609&size=640x480&source=outdoor&signature=97_4dk02hgOuB2XWreD_Zq7iLi8=,37183,Wake,"[{'listing_id': '2941930507', 'listing_key': None, 'status': 'for_sale', 'primary': True}, {'listing_id': '2925898160', 'listing_key': None, 'status': 'off_market', 'primary': None}, {'listing_id': '500799094', 'listing_key': None, 'status': 'off_market', 'primary': None}]",,,
12,2022-04-08T13:23:01Z,"['central_air', 'community_clubhouse', 'community_outdoor_space', 'community_security_features', 'den_or_office', 'energy_efficient', 'family_room', 'fireplace', 'forced_air', 'hardwood_floors', 'laundry_room', 'recreation_facilities', 'community_swimming_pool', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more', 'gourmet_kitchen', 'clubhouse', 'park', 'maintenance', 'shopping']",805-Wayne-Dr_Raleigh_NC_27608_M62956-57463,for_sale,2022-04-08T13:34:06Z,,"[{'name': 'Hunter Rowe Real Estate', 'photo': None, 'type': 'Office'}]","[{'href': 'https://ap.rdcpix.com/a2fb524244acdb381c5d48ae3cf3d529l-m1096491825s-w1024_h768.jpg'}, {'href': 'https://ap.rdcpix.com/a2fb524244acdb381c5d48ae3cf3d529l-m4081444758s-w1024_h768.jpg'}]",,1499999,False,6295657463,,,2941920408,,https://ap.rdcpix.com/a2fb524244acdb381c5d48ae3cf3d529l-m1096491825s-w1024_h768.jpg,[{'office_name': None}],TANC,,,mls,DB6BCF7EC52E5CB94CCD4B023E51C300,,,,,,,True,,,True,False,False,co_broke,"['core.agent', 'core.broker', 'co_broke']",essentials,2013.0,,2013-06-14,834500.0,4.0,,,6098.0,3457.0,4.0,,,2.0,2.0,4.0,single_family,27608,North Carolina,-78.634004,35.813283,Raleigh,NC,805 Wayne Dr,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=805%20Wayne%20Dr%2C%20Raleigh%2C%20NC%2027608&size=640x480&source=outdoor&signature=hA5aWWVzUX7N9RW3H_4GNXJ_fCo=,37183,Wake,"[{'listing_id': '2941920408', 'listing_key': None, 'status': 'for_sale', 'primary': True}]",,,
13,2022-04-08T13:14:11Z,"['central_air', 'community_clubhouse', 'community_outdoor_space', 'community_security_features', 'den_or_office', 'energy_efficient', 'fireplace', 'forced_air', 'hardwood_floors', 'laundry_room', 'recreation_facilities', 'basement', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more', 'gourmet_kitchen', 'high_ceiling', 'master_suite', 'big_lot']",3400-Rock-Creek-Dr_Raleigh_NC_27609_M96406-40666,for_sale,2022-04-08T13:18:37Z,,"[{'name': 'Keller Williams Realty', 'photo': None, 'type': 'Office'}]","[{'href': 'https://ap.rdcpix.com/bef26f56da51d758e2baef4876bb1740l-m4039678435s-w1024_h768.jpg'}, {'href': 'https://ap.rdcpix.com/bef26f56da51d758e2baef4876bb1740l-m3777632377s-w1024_h768.jpg'}]",,2500000,False,9640640666,,,2941919927,,https://ap.rdcpix.com/bef26f56da51d758e2baef4876bb1740l-m4039678435s-w1024_h768.jpg,[{'office_name': None}],TANC,,,mls,7F432E2781481F6923CA55922B498923,,,,,,,True,,,True,False,False,co_broke,"['core.agent', 'core.broker', 'co_broke']",essentials,2018.0,,2020-01-07,1527500.0,5.0,,1.0,47045.0,6343.0,6.0,,,2.0,2.0,5.0,single_family,27609,North Carolina,-78.637913,35.826557,Raleigh,NC,3400 Rock Creek Dr,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=3400%20Rock%20Creek%20Dr%2C%20Raleigh%2C%20NC%2027609&size=640x480&source=outdoor&signature=4Nn6CzdIwVWULofgTCFiRsklozs=,37183,Wake,"[{'listing_id': '2941919927', 'listing_key': None, 'status': 'for_sale', 'primary': True}, {'listing_id': '653810286', 'listing_key': None, 'status': 'off_market', 'primary': None}]",,,
14,2022-04-11T15:33:40Z,"['central_air', 'community_clubhouse', 'community_outdoor_space', 'community_security_features', 'community_tennis_court', 'den_or_office', 'family_room', 'fireplace', 'forced_air', 'hardwood_floors', 'laundry_room', 'recreation_facilities', 'tennis_court', 'community_swimming_pool', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more', 'modern_kitchen', 'open_kitchen', 'big_lot']",4824-Fox-Branch-Ct_Raleigh_NC_27614_M58325-39962,for_sale,2022-04-08T10:07:46Z,,"[{'name': ""Hodge & Kittrell Sotheby's International Realty"", 'photo': None, 'type': 'Office'}]","[{'href': 'https://ap.rdcpix.com/92d28ae8359227cf83a3076789f659f9l-m221569527s-w1024_h768.jpg'}, {'href': 'https://ap.rdcpix.com/92d28ae8359227cf83a3076789f659f9l-m2967563269s-w1024_h768.jpg'}]",,1275000,False,5832539962,,,2941917018,,https://ap.rdcpix.com/92d28ae8359227cf83a3076789f659f9l-m221569527s-w1024_h768.jpg,[{'office_name': None}],TANC,,,mls,B6D7A101F89F5D3A24F89953AFB371FD,,,,,,,True,,True,True,False,False,co_broke,"['core.agent', 'core.broker', 'co_broke']",essentials,1996.0,,2007-03-27,860000.0,4.0,,1.0,110642.0,5694.0,5.0,,,2.0,2.0,5.0,single_family,27614,North Carolina,-78.605838,35.918155,Raleigh,NC,4824 Fox Branch Ct,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=4824%20Fox%20Branch%20Ct%2C%20Raleigh%2C%20NC%2027614&size=640x480&source=outdoor&signature=osYQaGeJISEf6VrhMBYvfJZiD3k=,37183,Wake,"[{'listing_id': '2941917018', 'listing_key': None, 'status': 'for_sale', 'primary': True}]",,,
